,date,id,center_x,center_y,a,b,angle,omega
0,0,1,55.182946893094496,15.765709674632372,0.996490478515625,0.9173431396484375,0.35936963531122257,-3.470703300357452e-06
1,0,2,57.66383151734149,16.462743507930586,0.35235595703125,0.90142822265625,-2.9843023248615737,4.450517431293238e-06
2,1,1,55.19897130886138,15.686171016635367,1.06134033203125,0.9281082153320312,0.5567028724007205,-3.552940198557976e-06
3,1,2,57.58356721935761,16.511366129191764,0.39202880859375,0.78662109375,-3.0202114074406996,4.7508343571927935e-06
4,2,1,55.0532286043079,15.625270810142009,1.1563262939453125,0.942291259765625,0.32266694651161554,-3.6106111079553515e-06
5,2,2,57.586426418280375,16.387942968942316,0.4569129943847656,0.942474365234375,-3.0209501782530834,4.302470940541326e-06
6,2,4,60.43654504531496,21.456976834208728,0.3473968505859375,0.683502197265625,2.5713197234920337,4.130083616869933e-06
7,3,1,54.90134952218325,15.634399070708795,1.089935302734375,0.878662109375,0.1298143479806103,-3.825864581241189e-06
8,3,2,57.560982484180734,16.23653382181671,0.343505859375,0.926055908203125,-3.0219700097507247,4.027235822323407e-06
9,3,4,60.399173579669366,21.35826539487246,0.3686485290527344,0.6734619140625,2.5688538935710445,3.831384316640241e-06
10,4,1,54.86740830382712,15.662396746684301,1.209686279296875,0.97918701171875,0.27759969998132417,-3.4602971580217317e-06
11,4,2,57.4935111015944,16.235482838545106,0.339752197265625,0.761077880859375,-3.0297876218523996,4.017286037664385e-06
12,5,1,54.719808378630034,15.627485075213537,1.2758827209472656,0.9965667724609375,0.24438627607642094,-3.3005564690076823e-06
13,6,1,54.672792303091235,15.648721805762957,1.3320465087890625,1.0114116668701172,0.24346727507420074,-3.211157263437851e-06
14,6,2,57.51972728130452,15.770349322996625,0.4010019302368164,0.9821853637695312,-2.8854818765512067,4.002647217345848e-06
15,6,4,60.39641823237072,21.58893263907718,0.452728271484375,0.6545372009277344,2.7451491495848277,3.454989507542539e-06
16,7,1,54.597782746484924,15.667260074051102,1.3629131317138672,1.0101852416992188,0.2581739369128638,-3.27194500757507e-06
17,7,4,60.44134804732496,21.597309822062684,0.45960235595703125,0.625579833984375,2.661500788633087,3.4748461618633966e-06
18,8,1,54.40596477524085,15.666343387613884,1.215301513671875,0.9224853515625,0.10884279919181691,-3.360276874080045e-06
19,9,1,54.35595851857739,15.58133289629088,1.2986068725585938,0.9594416618347168,0.21553543661209612,-3.2207413734279164e-06
20,9,2,57.481760257957184,15.39210437685721,0.3551788330078125,0.7118453979492188,-2.9727723761041807,5.531095629915705e-06
21,10,1,54.23514266634112,15.615487530798081,1.2786865234375,0.945159912109375,0.19723036705567848,-3.2391088867621123e-06
22,11,1,54.19770053362406,15.592075601116598,1.20709228515625,0.9095382690429688,0.23450222695320508,-3.2207283486299027e-06
23,12,1,54.206805424243846,15.573734066992126,1.30377197265625,0.980438232421875,0.28760433310548805,-3.247500093073112e-06
24,13,1,54.15364546176201,15.520754519712998,1.2719573974609375,0.94903564453125,0.32551232697509375,-3.311205833520191e-06
25,14,1,54.10107945445341,15.452221526781647,1.3660812377929688,0.97540283203125,0.2783924860243911,-3.2036863193002583e-06
26,14,2,57.30514946912861,14.805315751394263,0.57025146484375,0.78057861328125,2.9439580694209035,4.973986383108991e-06
27,14,4,60.360203358426,21.729466884361653,0.42633056640625,0.67596435546875,2.5693214843981194,3.057291060392012e-06
28,15,1,53.987626708113254,15.460609866311986,1.314788818359375,0.9257659912109375,0.3452669183562703,-3.2789524190476504e-06
29,15,2,57.275169930733384,14.647326744774853,0.560821533203125,0.7049636840820312,2.7168624535484764,4.758734548533726e-06
30,16,1,53.919893935120555,15.443433762576634,1.30950927734375,0.93328857421875,0.33228737685301796,-3.2481828816167032e-06
31,16,2,57.20001880843403,14.513107934873258,0.56573486328125,0.7470855712890625,2.6753771304363214,4.228988063493198e-06
32,16,4,60.347744951153004,21.63927564828974,0.44915771484375,0.73223876953125,2.5529811839753123,3.335619217116874e-06
33,17,1,53.975639425664205,15.497162884738156,1.27886962890625,0.900543212890625,0.3544782457374398,-3.2401299021968428e-06
34,17,2,57.168687880485805,14.719351514744396,0.41107177734375,0.6786651611328125,2.5837578439624287,5.59375218634613e-06
35,17,4,60.35472273122606,21.76506931107781,0.4828948974609375,0.778961181640625,2.685375311309973,2.9436276963307653e-06
36,18,1,53.85113478571985,15.45500557463984,1.2830791473388672,0.9335975646972656,0.3733865776332813,-3.3158784124078548e-06
37,18,2,57.0977473951839,14.596414994811859,0.473876953125,0.8205528259277344,2.433969492112027,4.6405637580817075e-06
38,18,4,60.29100056352338,21.538811988851574,0.41015625,0.8050079345703125,2.6016468330239024,3.691218230462647e-06
39,19,1,53.86012335674382,15.41693313458702,1.30328369140625,0.9342803955078125,0.31126268792237965,-3.304074992900841e-06
40,19,2,57.022981359139955,14.712138968297847,0.63031005859375,0.8256797790527344,2.6291057816080707,4.538094595449033e-06
41,19,4,60.289614708883356,21.57986395444519,0.32515716552734375,0.75262451171875,2.630832130969966,3.2133475423591887e-06
42,20,1,53.55933411874576,15.433679829499379,1.336090087890625,0.9256439208984375,0.420241745202432,-3.5653306263834907e-06
43,20,2,57.294408717828006,14.56425912291302,0.7925949096679688,0.742431640625,0.17635468882834077,4.115306104921408e-06
44,20,4,60.55109211089803,21.83264261085158,0.70703125,0.9044647216796875,2.8880332876295425,2.9509179750068115e-06
45,21,1,53.46426553534002,15.416482558318933,1.184173583984375,0.8250274658203125,0.45886975636860294,-3.7918913470484623e-06
46,21,2,57.236016109273265,14.644454179712726,0.82208251953125,0.669647216796875,0.5769817523357709,4.264014505962144e-06
47,21,7,58.647318673072064,19.124493110979223,0.36651611328125,0.7003936767578125,2.8764343902808274,4.696469427277459e-06
48,22,1,53.626561269800845,15.552547755180672,1.28204345703125,0.874603271484375,0.47383011450233314,-3.576770881873956e-06
49,22,2,56.77087704243061,14.471302856115955,0.8029212951660156,0.591644287109375,0.6349095820914961,3.6051065874379583e-06
50,22,7,58.58457020211224,19.087761134952135,0.32079315185546875,0.47887420654296875,2.8903797559059874,5.795272786460032e-06
51,23,1,53.51403098723349,15.375325560236801,1.262512445449829,0.9509658813476562,0.4012750014052904,-3.7751532522703976e-06
52,23,2,57.25715133689875,14.743074137133451,0.77276611328125,0.68511962890625,0.10199729470503473,4.343869941052506e-06
53,23,7,58.6616595038273,19.216815489395234,0.3126220703125,0.7353477478027344,2.8159626838684857,4.453939729257335e-06
54,24,1,53.56236223160367,15.47457255655296,1.31793212890625,0.9096832275390625,0.4234780314703481,-3.755936098335257e-06
55,24,2,56.78739823308776,14.638412833545813,0.743621826171875,0.6170654296875,0.594791077835414,4.055926003185444e-06
56,25,1,53.47095172201452,15.34734382541926,1.2162322998046875,0.9133453369140625,0.38811359651025235,-4.050313433465475e-06
57,25,2,56.95379999160909,14.652340230436012,0.95709228515625,0.644989013671875,0.37552820185018854,3.994253158823747e-06
58,25,4,60.52002605095298,21.675335992681255,0.549652099609375,0.6943740844726562,3.0202117033594886,3.103396396074943e-06
59,26,1,53.37289601325129,15.300795444188669,1.0442047119140625,0.737823486328125,0.2976636999804823,-4.975766275958281e-06
60,26,2,56.76295757693536,14.808058104372337,0.84844970703125,0.47064208984375,0.639438370000212,4.970530649939292e-06
61,27,1,53.185669743400474,15.154568495594564,1.0528564453125,0.8177261352539062,0.34986523618038307,-4.5708066919910185e-06
62,27,2,56.7425240808423,14.760959202434014,1.0145111083984375,0.6438446044921875,0.5575607284001413,3.843978384646309e-06
63,28,1,53.27679507467423,15.257681183216182,1.101531982421875,0.8106155395507812,0.2532834772186613,-5.051518994940737e-06
64,28,2,56.63873925317878,14.663913089473724,0.814056396484375,0.4582977294921875,0.739758687135,4.2808140060119965e-06
65,28,4,60.557942071749125,21.79426995430182,0.48394775390625,0.661865234375,-2.7698034057502467,3.6140308191674492e-06
66,29,1,53.279285443619614,15.380843807060748,0.99273681640625,0.805145263671875,0.3283743426118116,-5.788203151427901e-06
67,29,4,60.575525830856506,21.58781489577925,0.60601806640625,0.726776123046875,-2.6315783112750593,3.46637114006247e-06
68,29,7,58.92091633111246,19.734197216038478,0.50238037109375,0.2468709945678711,0.6139287853866232,6.219854521132599e-06
69,30,1,53.24417926021108,15.396631670539435,0.9010467529296875,0.7974853515625,0.31256267754362144,-5.867109133993443e-06
70,30,4,60.61352416443372,21.600253783817386,0.680694580078125,0.53375244140625,-0.7611946328277989,3.581448876413025e-06
71,30,7,59.01297658795849,19.755152604108968,0.611297607421875,0.292327880859375,0.6513917618710597,6.488288488569253e-06
72,31,1,53.175592374454,15.351909704883482,0.89654541015625,0.8178863525390625,0.35885410771301374,-5.611505298284551e-06
73,31,2,56.75258761061211,14.719547948634245,0.32025146484375,0.5685577392578125,2.5103923984297647,4.809757590270224e-06
74,32,1,53.131857468903206,15.296519827259694,0.904083251953125,0.7934226989746094,0.4101700001831091,-5.515046687031554e-06
75,32,2,56.72218913251505,14.756301761361758,0.3959197998046875,0.59234619140625,2.5300385536440357,4.636929568871696e-06
76,33,1,53.01470608261748,15.245765049801483,0.846282958984375,0.7697715759277344,0.41318810642328085,-4.678438594769201e-06
77,33,2,56.58656905880261,14.705319158763105,0.87188720703125,0.5303955078125,0.739480447334341,4.162398956459066e-06
